RowNumber,Surname,Geography,Gender,Age
229,O'Sullivan,Germany,Male,50
230,Lucas,Germany,Female,29
231,Ringrose,France,Male,72
232,Freeman,France,Male,40
233,Sergeyev,France,Female,37
234,Fiore,Germany,Male,20
235,Smith,France,Female,67
236,Dumetochukwu,Germany,Male,42
237,Pacheco,France,Female,29
238,Synnot,Germany,Female,43
239,Johnston,France,Female,46
240,Stevens,France,Male,28
241,Grant,Spain,Male,38
242,Tsao,Germany,Female,39
243,Barnes,France,Male,37
244,McIntosh,Germany,Male,67
245,Madison,Spain,Male,34
246,Ifesinachi,France,Female,40
247,Glazkov,Germany,Male,26
248,Dimauro,France,Female,26
249,Wieck,Germany,Male,24
250,Liao,Germany,Male,54
251,Hughes,Germany,Female,36
252,Morrison,Spain,Female,34
253,Matveyeva,France,Female,79
254,Ku,Germany,Male,37
255,Cheatham,Spain,Male,28
256,Yao,Spain,Male,41
257,Kirkland,France,Male,34
258,Rose,Germany,Female,34
259,Jess,France,Female,30
260,Welch,Germany,Male,38
261,Ifeajuna,Germany,Male,42
262,Morton,Spain,Female,48
263,Rossi,France,Female,32
264,Reppert,France,Female,26
265,Kang,Spain,Male,31
266,Ch'iu,Spain,Female,36
267,Wallis,France,Male,34
268,Clark,France,Male,36
269,Fielding,Spain,Female,39
270,Zetticci,Germany,Female,35
271,Dulhunty,Spain,Male,41
272,Bevington,Germany,Male,34
273,Boyle,Germany,Female,34
274,Newton,France,Male,30
275,Bowman,Germany,Male,28
276,Dubinina,Spain,Female,37
277,Toscani,France,Male,62
278,Chiazagomekpere,France,Female,53
279,Allen,France,Male,35
280,K'ung,France,Male,46
281,Wilsmore,France,Male,39
282,Hargreaves,Spain,Male,29
283,Huang,Germany,Male,35
284,Ch'ien,France,Male,42
285,Wallwork,France,Female,22
286,Chu,France,Male,40
287,Kang,Spain,Male,29
288,Davidson,France,Female,32
289,O'Donnell,Spain,Female,26
290,Nnachetam,Spain,Male,34
291,Chidiebele,Germany,Male,42
292,Ahmed,Spain,Female,41
293,Booth,France,Male,27
294,Chuang,Spain,Female,34
295,Shao,France,Male,38
296,Tsao,France,Male,25
297,Tien,France,Female,31
298,Chang,Spain,Female,44
299,Johnson,France,Male,58
300,French,France,Male,33
301,Efremov,France,Female,31
302,Hartley,Spain,Female,36
303,Calabrese,France,Male,35
304,Chiu,France,Female,33
305,Brennan,France,Male,33
306,Onwuatuegwu,France,Male,31
307,Hewitt,France,Male,43
308,Shih,Germany,Male,35
309,Balashov,France,Male,50
310,Doyle,Germany,Male,31
311,Pokrovskii,France,Female,80
312,Collins,Germany,Male,30
313,Russo,France,Male,38
314,Skinner,Germany,Female,59
315,Robertson,Spain,Male,36
316,Atkinson,Spain,Male,37
317,Doyle,France,Male,49
318,Ritchie,Spain,Male,42
319,McEncroe,Spain,Female,22
320,Pearson,France,Male,24
321,Gordon,Spain,Female,57
322,Ts'ai,France,Female,30
323,Lung,France,Male,40
324,Yuan,France,Female,31
325,Pardey,France,Male,30
326,Tai,France,Male,35
327,Scott,France,Male,35
328,Hunter,France,Female,46
329,Mazzanti,Germany,Male,35
330,L?,Germany,Male,26
331,Beach,France,Male,50
332,Hsieh,Spain,Female,40
333,Faulkner,Germany,Male,44
334,Knowles,Germany,Female,30
335,Day,Spain,Female,37
336,Hsueh,France,Male,29
337,Tsao,Germany,Female,32
338,Kennedy,France,Male,33
339,Nwabugwu,Spain,Female,39
340,Young,Germany,Female,39
341,Kerr,Germany,Female,40
342,Tien,France,Male,31
343,Marrero,Spain,Female,47
344,White,France,Male,22
345,Pisano,France,Female,25
346,Brown,France,Female,43
347,Freeman,Germany,Female,34
348,Russell,Germany,Male,59
349,Seleznyov,Germany,Female,32
350,Yusupova,France,Male,39
351,Foley,Spain,Male,32
352,Shih,Spain,Male,39
353,Ikedinachukwu,Spain,Female,32
354,Power,Spain,Male,25
355,Amos,France,Female,45
356,Reed,France,Male,30
357,Simmons,Spain,Female,57
358,Ricci,Spain,Male,34
359,Yen,France,Male,41
360,Campbell,France,Male,58
361,West,Spain,Male,28
362,Robinson,Germany,Female,45
363,Bianchi,France,Female,50
364,Chen,Germany,Female,29
365,Madukaego,France,Male,68
366,Ibrahimova,Spain,Female,33
367,Nolan,Germany,Female,42
368,Scott,Germany,Female,35
369,Blair,Germany,Male,34
370,Monaldo,France,Female,29
371,Sutherland,Spain,Male,42
372,Cole,Germany,Female,75
373,Briggs,Germany,Male,31
374,Gregory,Germany,Male,31
375,Bianchi,Germany,Male,35
376,Angelo,France,Female,39
377,Gardiner,Germany,Male,45
378,Kerr,Spain,Male,35
379,Ko,Spain,Female,30
380,Distefano,Spain,Female,39
381,Farrell,France,Female,50
382,Milano,France,Male,36
383,Ting,Germany,Female,30
384,Boyd,Germany,Male,28
385,Onyemaechi,Germany,Male,44
386,Black,France,Female,66
387,Oliver,Spain,Male,46
388,Greco,Spain,Male,62
389,Whitehead,Spain,Female,45
390,Ikemefuna,France,Female,21
391,Morrison,Germany,Female,29
392,Onyeoruru,Germany,Male,38
393,Cunningham,Spain,Male,46
394,Demidov,Spain,Male,38
395,Celis,Spain,Female,24
396,Cheng,Germany,Female,37
397,Knight,France,Male,33
398,Morin,Germany,Male,32
399,Mills,France,Female,39
400,Outhwaite,France,Female,66
401,Tung,France,Male,52
402,Pai,Germany,Female,38
403,Carpenter,Spain,Male,52
404,Fennell,Spain,Male,36
405,Fontaine,France,Male,23
406,Pratt,France,Male,36
407,Mitchell,Spain,Female,49
408,Franklin,Spain,Female,37
409,K'ung,Germany,Male,37
410,Ko,Germany,Female,41
411,McKenzie,Spain,Male,23
412,Pino,France,Male,38
413,Fisk,Spain,Female,31
414,Chiang,Germany,Female,41
415,Moseley,Spain,Male,35
416,Hsiung,Spain,Male,26
417,Heath,Germany,Female,61
418,Dellucci,France,Female,39
419,Li,France,Female,46
420,De Salis,France,Female,28
421,T'ang,Germany,Female,60
422,Richardson,France,Female,38
423,Fitch,Germany,Male,40
424,Stevenson,France,Female,35
425,Estes,France,Male,39
426,Lattimore,France,Male,26
427,Chung,Germany,Male,39
428,Utz,France,Male,45
429,Wei,Germany,Female,40
430,Boyle,Germany,Male,40
431,Nwachinemelu,Germany,Male,57
432,Kuznetsova,Germany,Male,41
433,Pisani,Germany,Female,33
434,Manna,Germany,Female,37
435,Collier,France,Male,33
436,Ricci,France,Female,51
437,Carr,Germany,Female,30
438,Hs?,France,Male,35
439,Findlay,France,Female,38
440,Hughes,Germany,Female,42
441,Chukwuemeka,France,Female,35
442,Genovese,France,Female,31
443,Swift,France,Female,34
444,Ugoji,France,Male,46
445,Parkinson,Spain,Male,47
446,Ross,France,Female,26
447,Oleary,France,Male,37
448,Turnbull,France,Male,40
449,Uspensky,France,Female,38
450,Cook,Spain,Female,47
451,Newbold,Germany,Female,38
452,Uchechukwu,France,Male,40
453,Ch'en,Spain,Male,31
454,He,Spain,Female,44
455,Hilton,France,Female,39
456,Sal,France,Male,36
457,Eluemuno,France,Male,33
458,Titus,France,Male,38
459,Yin,Germany,Male,43
460,Lettiere,Spain,Male,37
461,Templeman,Germany,Male,29
462,Chibuzo,France,Male,39
463,Sun,Spain,Female,25
464,Evans,France,Female,32
465,Ogbonnaya,Spain,Male,26
466,Enyinnaya,France,Male,33
467,Olisanugo,Spain,Female,32
468,Brookes,Germany,Female,38
469,Padovano,France,Male,35
470,Fisk,France,Male,35
471,Shih,Spain,Male,27
472,Hare,France,Male,37
473,Muir,France,Male,26
474,Fanucci,France,Male,28
475,Elewechi,France,Female,33
476,Johnston,Germany,Male,46
477,Pisano,Germany,Female,31
478,Ankudinov,France,Female,40
479,Nwokike,France,Male,38
480,Smith,France,Male,29
481,Atkins,Spain,Male,34
482,Burns,France,Female,23
483,Obiuto,France,Male,37
484,Pirozzi,Germany,Male,37
485,George,Spain,Male,61
486,Lewis,France,Female,35
487,Moran,France,Male,37
488,Dalrymple,France,Male,39
489,Carslaw,France,Male,30
490,Kirby,Germany,Female,55
491,Houghton,Spain,Male,29
492,Martin,France,Female,41
493,Tan,France,Female,38
494,Hsia,France,Female,47
495,Westerberg,France,Female,38
496,Hale,Germany,Male,36
497,Kryukova,France,Female,32
498,Sopuluchukwu,France,Male,40
499,Barry,Germany,Male,26
500,Selezneva,France,Female,58
501,Chizuoke,Spain,Male,32
502,Lueck,France,Male,54
503,Udinese,France,Male,60
504,Udobata,Spain,Male,44
505,Freeman,Spain,Female,41
506,Outlaw,France,Male,31
507,Obiuto,Germany,Male,30
508,Lo,Germany,Female,40
509,Okechukwu,France,Male,22
510,King,Spain,Female,37
511,Forbes,Germany,Female,31
512,Macleod,Germany,Female,38
513,Gibbs,Spain,Male,34
514,Isayev,France,Male,34
515,Pisano,France,Female,51
516,Belstead,Spain,Male,38
517,Vassiliev,France,Female,56
518,Schneider,Germany,Male,37
519,Mazzanti,France,Male,48
520,Knipe,France,Male,58
521,Macartney,France,Female,35
522,Madukwe,France,Male,56
523,Watts,Spain,Male,37
524,Humphreys,Germany,Male,32
525,Wu,France,Male,48
526,Chin,France,Female,31
527,Chesnokova,France,Male,43
528,Kung,France,Male,26
529,Lu,Germany,Female,48
530,Nkemakolam,France,Male,30
531,Walton,Spain,Female,57
532,Brookes,Spain,Female,26
533,Baldwin,France,Male,32
534,Mai,Spain,Male,35
535,Shih,France,Female,40
536,He,France,Male,59
537,Fiorentini,Germany,Male,35
538,Lucciano,Spain,Male,34
539,Ferreira,Germany,Female,62
540,Ukaegbunam,Germany,Female,28
541,De Luca,France,Male,37
542,Milne,France,Male,26
543,Davide,France,Female,42
544,Kodilinyechukwu,Spain,Male,51
545,Little,France,Female,49
546,Burns,Spain,Female,44
547,Paterson,France,Male,38
548,Han,Germany,Female,30
549,Kryukova,France,Male,49
550,Ijendu,France,Male,24
551,Reichard,Germany,Female,36
552,Day,Germany,Male,47
553,Price,Spain,Female,25
554,Bruce,France,Male,34
555,Sumrall,Germany,Male,33
556,Lu,Spain,Female,51
557,Lazarev,Germany,Male,40
558,Miller,Germany,Male,41
559,Wentworth-Shields,Spain,Male,53
560,Ritchie,Spain,Female,70
561,Mackenzie,Germany,Female,29
562,Power,Spain,Male,61
563,Tan,Spain,Male,36
564,Pendergrass,France,Female,46
565,Evans,Spain,Female,38
566,Hsia,France,Male,36
567,Billson,Spain,Female,54
568,Teng,Spain,Female,63
569,Moretti,Germany,Male,31
570,Jordan,France,Male,31
571,Ts'ao,France,Male,44
572,Osborne,France,Male,45
573,Carslaw,France,Male,35
574,Ch'ang,Spain,Female,49
575,Hung,Spain,Male,40
576,Gordon,France,Female,27
577,Obialo,Spain,Female,32
578,Gray,France,Male,30
579,Lin,France,Female,41
580,Hopkins,France,Male,39
581,Dobson,Spain,Male,36
582,McKay,Spain,Female,33
583,Revell,Spain,Female,57
584,Rickards,Germany,Female,30
585,Begum,Germany,Female,51
586,Onyinyechukwuka,France,Female,51
587,Zuyev,Spain,Male,53
588,Nwankwo,France,Male,44
589,Hao,France,Male,36
590,Ma,Spain,Female,47
591,Okwuadigbo,Germany,Female,38
592,Mitchell,France,Male,38
593,Chan,France,Female,34
594,Buchi,Spain,Male,32
595,Greco,Spain,Female,26
596,Lombardi,Germany,Female,41
597,Uchenna,Spain,Male,43
598,Coffman,Germany,Male,39
599,Alexandrova,Germany,Female,57
600,Fallaci,Germany,Female,34
601,Hudson,France,Female,43
602,Mai,Spain,Female,26
603,Stout,France,Female,72
604,Burke,France,Male,30
605,Chadwick,France,Male,37
606,Lawrence,France,Male,29
607,Bellucci,France,Male,53
608,Harper,France,Male,28
609,Boyle,France,Male,35
610,Duncan,Germany,Female,51
611,Moss,France,Male,30
612,Avdeyeva,France,Female,27
613,Crawford,France,Female,64
614,Lynton,Spain,Male,38
615,Duncan,Germany,Male,26
616,Gether,Spain,Female,31
617,Davidson,Spain,Male,39
618,Larionova,Germany,Female,62
619,Loggia,Spain,Male,42
620,Steinhoff,Spain,Female,37
621,Guerra,France,Male,35
622,Pai,Spain,Female,40
623,Craig,Germany,Female,53
624,Lazareva,Germany,Male,36
625,Ch'iu,Spain,Female,48
626,Alderete,Spain,Male,35
627,Kung,France,Male,29
628,Palermo,France,Male,49
629,Ts'ai,France,Male,47
630,Rahman,Spain,Female,28
631,McMillan,France,Female,61
632,Pickering,Germany,Female,54
633,Mirams,Spain,Female,33
634,Tsao,Germany,Male,44
635,Douglas,France,Male,31
636,Jideofor,Spain,Female,51
637,Bell,Spain,Female,33
638,Mairinger,France,Male,48
639,McIntyre,France,Female,43
640,Pagnotto,France,Female,36
641,K'ung,Spain,Male,48
642,Feng,France,Female,29
643,Donaldson,France,Female,27
644,Chambers,Germany,Female,39
645,Marcelo,France,Female,39
646,Ejimofor,France,Female,34
647,Dale,France,Female,30
648,Pokrovsky,France,Male,38
649,Stonebraker,France,Female,36
650,Liang,France,Male,38
651,Anderson,France,Female,49
652,Christian,France,Male,52
653,Mao,France,Male,42
654,Campbell,Germany,Male,48
655,Ginikanwa,Spain,Male,31
656,Toscani,Germany,Male,25
657,Nnachetam,Spain,Male,25
658,Sagese,Germany,Female,54
659,Fleming,France,Male,64
660,Grubb,France,Female,30
661,Napolitani,Germany,Female,41
662,Anenechi,Spain,Male,57
663,Chandler,France,Male,31
664,Howells,France,Male,46
665,Akeroyd,France,Female,41
666,Onwumelu,France,Male,33
667,Wallace,France,Female,31
668,Uwaezuoke,France,Male,29
669,Loyau,Spain,Male,46
670,Small,France,Female,42
671,Bledsoe,Germany,Female,48
672,Kao,France,Male,42
673,Wickens,France,Male,26
674,Wertheim,Spain,Female,32
675,He,Spain,Male,35
676,Jarvis,France,Female,39
677,P'an,Spain,Female,38
678,Repina,Germany,Male,45
679,Pugliesi,Spain,Female,70
680,Blakey,Spain,Female,38
681,Nucci,France,Male,55
682,Higinbotham,Spain,Male,58
683,Achebe,Germany,Female,41
684,Russo,Germany,Female,40
685,Trevisani,France,Male,24
686,Dobie,Spain,Male,42
687,Maccallum,France,Female,31
688,Watkins,Germany,Female,45
689,Mitchel,France,Female,51
690,Ferdinand,France,Female,36
691,Otitodilinna,Germany,Male,27
692,Mamelu,France,Male,43
693,Beneventi,Germany,Male,36
694,Perrodin,France,Male,34
695,Chinagorom,France,Female,45
696,Napolitano,France,Male,57
697,Edgar,Spain,Male,62
698,Walker,Germany,Female,57
699,Steele,Spain,Male,36
700,Elkins,Germany,Male,33
701,Hao,France,Female,32
702,Toscano,France,Male,30
703,Savage,Spain,Female,49
704,Okwuadigbo,Spain,Male,36
705,Mordvinova,Germany,Male,36
706,Welch,Germany,Male,40
707,Kent,Germany,Male,35
708,Campbell,France,Male,42
709,Cooper,France,Female,35
710,Mazzi,France,Female,34
711,Fisher,France,Male,48
712,Summers,Germany,Male,35
713,Brady,Spain,Male,38
714,Nicholls,France,Female,41
715,Yuan,Spain,Female,25
716,Robinson,France,Male,34
717,Golubov,Germany,Female,37
718,Chen,Spain,Female,42
719,Oldham,France,Male,45
720,Kambinachi,France,Female,43
721,Fleming,Spain,Female,56
722,Cunningham,Spain,Female,42
723,Obinna,France,Male,23
724,Chinwemma,France,Female,38
725,Carpenter,France,Male,36
726,Yin,France,Female,42
727,Olsen,France,Male,37
728,Ts'ai,France,Female,25
729,Jen,France,Female,40
730,Preston,France,Female,57
731,Ozioma,France,Male,24
732,Cody,France,Female,25
733,Ponomarev,Spain,Male,31
734,Martin,Germany,Male,43
735,Milani,Germany,Female,60
736,Tang,France,Male,47
737,Romani,Spain,Male,67
738,McIntyre,France,Male,36
739,Davis,France,Male,46
740,Onyemauchechukwu,France,Female,28
741,Gell,France,Female,24
742,Rossi,France,Male,24
743,Chiwetelu,France,Male,29
744,Kirillova,France,Female,49
745,Shaw,France,Male,60
746,Smith,France,Male,40
747,Hsieh,France,Male,18
748,Onyemauchechukwu,Spain,Female,46
749,Martin,Spain,Male,38
750,Okwudilichukwu,Germany,Male,46
751,Onuoha,France,Male,41
752,Muecke,Germany,Female,47
753,Hsieh,France,Female,35
754,Anderson,Germany,Male,37
755,Azubuike,Spain,Female,39
756,Nnonso,France,Male,31
757,Fuller,Germany,Female,36
758,Ashley,Spain,Female,28
759,Ts'ui,France,Female,37
760,Buccho,France,Male,58
761,Chidozie,France,Female,43
762,Maclean,France,Female,35
763,Burns,Germany,Female,36
764,Chu,Germany,Female,21
765,Kenenna,Germany,Male,43
766,Beluchi,Spain,Female,27
767,Williamson,France,Female,82
768,Bobrov,Germany,Male,60
769,Kerr,Spain,Male,41
770,McKenzie,France,Female,63
771,Pitts,Germany,Female,36
772,Standish,France,Male,31
773,Cartwright,France,Male,32
774,Johnstone,France,Male,36
775,Nikitina,Germany,Male,49
776,McElroy,France,Male,33
777,Shen,Germany,Female,58
778,Archer,Spain,Male,28
779,Otutodilinna,France,Male,28
780,Shih,Spain,Female,35
781,Denisov,France,Male,27
782,Owens,France,Female,28
783,P'eng,France,Male,41
784,Verco,France,Female,35
785,Bergamaschi,Germany,Male,58
786,Lorenzo,Spain,Male,36
787,Outtrim,France,Male,26
788,Hou,Germany,Male,42
789,Galkin,Spain,Female,35
790,Pagnotto,Spain,Male,48
791,Echezonachukwu,France,Male,36
792,Young,France,Male,49
793,Summers,Germany,Female,48
794,Munro,Germany,Female,34
795,Brennan,France,Male,29
796,Ball,Germany,Male,36
797,Virgo,France,Female,46
798,Trevisani,Germany,Male,32
799,Padovano,France,Female,35
800,Tao,Germany,Female,42
801,Perez,France,Male,52
802,Fraser,Germany,Female,44
803,Alley,Germany,Female,31
804,Howells,Spain,Female,29
805,Cameron,France,Male,39
806,Hooper,Spain,Female,46
807,Rice,France,Female,33
808,Cox,France,Male,69
809,Martin,Germany,Male,53
810,Ikenna,France,Female,37
811,Davide,France,Female,35
812,Alexander,Spain,Male,65
813,Piazza,Spain,Female,33
814,Ni,Germany,Male,28
815,Black,France,Female,26
816,Harker,France,Male,25
817,Hughes,France,Male,29
818,Chiabuotu,Germany,Female,42
819,Kuo,Spain,Male,27
820,Gallagher,France,Female,43
821,Calabresi,Germany,Male,36
822,Shaw,France,Female,36
823,Zhirov,Spain,Male,34
824,Lloyd,Spain,Female,69
825,Palmer,Spain,Male,36
826,Ch'eng,Germany,Male,33
827,Avent,France,Female,47
828,Huang,Spain,Male,56
829,Shaw,Germany,Female,31
830,Yuan,France,Female,39
831,Hawkins,France,Female,34
832,Trentini,Spain,Female,41
833,Cameron,Germany,Female,29
834,Koehler,Germany,Male,37
835,Wu,France,Female,30
836,Manna,France,Male,34
837,Okoli,Spain,Female,37
838,Ch'eng,Germany,Female,56
839,Nwokezuike,Spain,Female,48
840,Artemiev,France,Male,36
841,Esposito,Germany,Male,50
842,Abbie,France,Female,31
843,Fanucci,Germany,Male,35
844,Jen,Spain,Female,41
845,Moss,France,Male,44
846,Lo,France,Male,49
847,Averyanov,Germany,Male,21
848,Unaipon,France,Female,42
849,Clamp,Spain,Male,51
850,Lim,France,Male,25
851,Wu,Germany,Male,46
852,Wan,Germany,Female,48
853,Chambers,Germany,Female,41
854,Pettit,France,Female,43
855,Baresi,France,Female,57
856,Newbery,Spain,Male,32
857,Iheanacho,Germany,Female,49
858,Duncan,Spain,Male,39
859,Barry,Spain,Male,32
860,Landry,France,Male,64
861,McGregor,France,Male,43
862,Nucci,France,Female,32
863,Pirogov,France,Male,41
864,Oguejiofor,France,Male,53
865,Ugochukwu,France,Male,38
866,Rohu,Germany,Female,25
867,Cary,France,Male,38
868,O'Loghlen,France,Female,48
869,Quinn,Germany,Male,44
870,Page,France,Male,36
871,Evans,France,Female,40
872,McGregor,Germany,Female,45
873,Andrews,France,Female,35
874,Stanley,France,Male,28
875,Chiazagomekpere,France,Female,38
876,Chidiebele,France,Female,39
877,Gregory,Germany,Female,32
878,Bednall,Spain,Female,42
879,Jen,France,Female,33
880,She,France,Female,45
881,Simmons,France,Female,60
882,Fraser,France,Female,43
883,May,France,Male,36
884,Seabrook,France,Female,45
885,Herrera,France,Male,65
886,Kincaid,France,Male,25
887,Sleeman,Spain,Male,38
888,Hung,France,Male,42
889,Artemieva,Germany,Male,74
890,Barwell,France,Female,43
891,Wright,Spain,Male,37
892,Bellucci,Germany,Male,32
893,Moore,France,Male,42
894,Ball,France,Female,51
895,Sung,Germany,Female,35
896,Mello,Germany,Male,32
897,Mistry,France,Male,35
898,T'ien,France,Female,40
899,Fallaci,France,Female,40
900,Hill,Germany,Male,25
901,Burns,Germany,Male,40
902,Hunter,France,Male,36
903,Li,France,Female,48
904,Ku,France,Male,28
905,Ch'en,France,Male,58
906,Chukwukadibia,France,Female,45
907,Zikoranachidimma,France,Male,33
908,Oluchukwu,France,Female,46
909,Rivera,Spain,Male,31
910,Niu,Spain,Male,25
911,Bennett,France,Male,36
912,Wollstonecraft,Spain,Female,53
913,Thomsen,Spain,Female,32
914,Palermo,Germany,Male,27
